Sample,1,2,3,4
TB13.1436.C,21.1571792,11.13862312,29.50542795,33.44061574
TB13.1436.E,14.66393983,14.92188917,15.03948845,12.78508981
TB13.2128.A,14.56660913,5.548577204,19.81087291,9.305851192
TB13.2128.C,12.20761744,5.301724324,21.8232871,16.91184937
TB13.2128.E,0,0,0,24.01353257
TB13.2533.A,0,6.208060187,0,10.14024018
TB13.2533.C,0,38.59796185,7.140135382,0
TB13.2533.E,12.06252734,11.95163823,36.98649485,38.98302414
TB13.2559.A,23.8062451,38.8347332,50.43223695,44.21087237
TB13.2559.C,14.06690166,0,12.66433853,16.33653308
TB13.2559.E,8.45633474,20.14223397,48.83887507,30.65050167
TB13.2665.A,7.061796191,0,32.95239152,11.28061779
TB13.2665.C,7.02899131,8.010366478,0,26.27294193
TB13.2665.E,13.55967443,12.86683166,8.001240171,8.750225837
TB13.2729.A,0,11.0173984,8.501572965,11.69505007
TB13.2729.C,0,10.37439871,0,0
TB13.2729.E,7.947917329,7.925144303,19.49970342,10.68112716
TB13.2769.A,18.53334613,21.09252412,34.56671513,27.06568473
TB13.2769.C,3.847722679,29.54286456,9.104381457,17.49239295
TB13.2769.E,16.398503,11.23551945,11.84108979,41.78798981
TB13.2958.A,13.07396881,23.62178693,18.06728769,16.87010819
TB13.2958.C,31.11446278,14.68446355,19.89238353,30.37164426
TB13.2958.E,45.0338686,18.12622418,30.58963705,10.64479284
TB13.3179.A,9.988756302,31.52819311,10.67876271,11.83013437
TB13.3179.C,7.809831608,14.78891447,0,7.121005578
TB13.3179.E,9.500470443,0,14.47016392,16.86683371
TB13.3310.A,7.367078023,28.8383974,6.653589711,16.31013162
TB13.3310.C,11.9183622,11.06232127,16.48890221,16.99494832
TB13.3310.E,10.34345205,12.74525024,8.493806038,13.05711117
TB13.3312.A,10.95215581,23.87209528,14.07395368,9.165444171
TB13.3312.C,29.20621853,12.37138847,18.14885546,30.58042437
TB13.3312.E,25.42440305,16.15273967,62.25487972,12.33926888
TB13.3417.A,36.05927,38.99956038,29.5672001,9.253973332
TB13.3417.C,40.45893095,35.14243044,26.41762318,25.3732677
TB13.3417.E,36.04960286,40.00267246,35.48723788,30.5639834
TB13.3479.A,11.28108794,17.10989099,18.44282577,51.96111873
TB13.3479.C,13.28093495,19.53287817,80.07200472,15.57785123
TB13.3479.E,27.07854681,27.07034504,25.48996486,16.96639274
TB13.3491.A,0,5.698808902,25.83864173,7.746307183
TB13.3491.C,9.613927945,15.84362988,18.53567069,39.32045339
TB13.3491.E,16.20442002,7.771229405,23.64602315,13.80829638
TB13.3817.A,6.879307035,24.58531825,23.94102848,12.82812905
TB13.3817.C,4.194738119,0,9.392711029,8.157974539
TB13.3817.E,4.722564483,8.449579222,5.086506532,16.99071516
TB13.3870.A,27.76095402,42.42023315,50.65535328,25.32008355
TB13.3870.C,31.05911386,26.23696926,31.16416342,49.30495125
TB13.3870.E,25.76425159,22.28465829,17.39506681,15.58011704
TB13.4237.A,0,30.09000192,17.05269983,37.78098616
TB13.4237.C,10.30109367,5.507308967,7.231431983,32.08528421
TB13.4237.E,18.80919699,18.61714687,17.62153353,32.03075629
TB13.4350.A,5.457060262,29.57868384,11.11360508,20.04545381
TB13.4350.C,5.039639269,9.231323511,26.69339794,10.64842611
TB13.4350.E,0,16.00587526,12.78872954,42.31305672
TB14.0024.A,0,39.93130669,0,0
TB14.0024.C,13.36320784,0,18.79456375,0
TB14.0024.E,32.27450868,36.04038221,0,19.19217398
TB14.0119.A,0,0,0,0
TB14.0119.C,27.41277379,0,0,0
TB14.0119.E,0,14.24009113,0,0
TB14.0120.A,0,36.07079783,55.22133034,41.7386056
