Sample,Feature,Length (um),Area (um2)
Sample,Feature,Length (um),Area (um2)
TB13.2533.C,1a,938.2,32977.39
TB13.2533.C,1b,833.53,19527
TB13.2533.C,1c,833.53,19527
TB13.2533.C,2a,1837.47,92352.42
TB13.2533.C,2b,1665.52,41312
TB13.2533.C,2c,1571.29,25366.41
TB13.2533.C,3a,2574.64,238427.85
TB13.2533.C,3b,2269.41,141085.14
TB13.2533.C,3c,2252.39,131011.47
TB13.2533.C,4a,2048.74,100113
TB13.2533.C,4b,1974.11,63700.03
TB13.2533.C,4c,1974.11,63700.03
Sample,Feature,Length (um),Area (um2)
TB13.2533.E,1a,1427.23,85266.67
TB13.2533.E,1b,1246.87,48916.2
TB13.2533.E,1c,1150.3,43015.67
TB13.2533.E,2a,1727.54,109472.57
TB13.2533.E,2b,1520.62,61244.24
TB13.2533.E,2c,1423.47,53924.55
TB13.2533.E,3a,3187.47,387040.38
TB13.2533.E,3b,2663.49,160791.23
TB13.2533.E,3c,2256.96,101320.19
TB13.2533.E,4a,5501.7,574205.92
TB13.2533.E,4b,4156.08,305231.63
TB13.2533.E,4c,3671.35,186243.11
Sample,Feature,Length (um),Area (um2)
TB13.2559.A,1a,558.04,11772.07
TB13.2559.A,1b,505.23,8975.67
TB13.2559.A,1c,448.71,6838.9
TB13.2559.A,2a,512.11,9926.09
TB13.2559.A,2b,488.74,6494.65
TB13.2559.A,2c,441.24,3972.47
TB13.2559.A,3a,422.08,7296.85
TB13.2559.A,3b,367.02,4136.62
TB13.2559.A,3c,297.99,2050.43
TB13.2559.A,4a,442.55,9729.55
TB13.2559.A,4b,382.19,5870.66
TB13.2559.A,4c,273,3275.19
Sample,Feature,Length (um),Area (um2)
TB13.2559.C,1a,1299.82,60468.65
TB13.2559.C,1b,1093.06,27013.98
TB13.2559.C,1c,1053.35,23213.95
TB13.2559.C,2a,2337.62,137087.2
TB13.2559.C,2b,2152.35,77751.95
TB13.2559.C,2c,2152.35,77751.95
TB13.2559.C,3a,1342.2,46432.05
TB13.2559.C,3b,1132.19,24070.74
TB13.2559.C,3c,1048.46,21022.34
TB13.2559.C,4a,1498.71,70816.04
TB13.2559.C,4b,1337.3,44197.26
TB13.2559.C,4c,1256.17,36976.96
Sample,Feature,Length (um),Area (um2)
TB13.2559.E,1a,2267.87,196051.35
TB13.2559.E,1b,1931.95,102812.51
TB13.2559.E,1c,1807.11,94118.34
TB13.2559.E,2a,2246.25,246141.11
TB13.2559.E,2b,1562.22,107155.84
TB13.2559.E,2c,1570.15,85572.26
TB13.2559.E,3a,3444.61,571989.96
TB13.2559.E,3b,2502.3,241819.37
TB13.2559.E,3c,1690.83,123717.51
TB13.2559.E,4a,1057.05,32907.11
TB13.2559.E,4b,836.83,15360.76
TB13.2559.E,4c,750.39,10652.61
Sample,Feature,Length (um),Area (um2)
TB13.2665.A,1a,2649.48,212453.76
TB13.2665.A,1b,2122.7,84028.48
TB13.2665.A,1c,2127.05,78094.56
TB13.2665.A,2a,4083.41,470992.56
TB13.2665.A,2b,3476.03,257773.5
TB13.2665.A,2c,3476.03,257773.5
TB13.2665.A,3a,5092.01,851271.35
TB13.2665.A,3b,4173.34,346854.37
TB13.2665.A,3c,3758.55,232557.56
TB13.2665.A,4a,2602.96,286355.48
TB13.2665.A,4b,2030.46,146005.39
TB13.2665.A,4c,1910,129535.08
Sample,Feature,Length (um),Area (um2)
TB13.2665.C,1a,2755.35,339808.15
TB13.2665.C,1b,2285.64,207794.68
TB13.2665.C,1c,2160.69,193188.81
TB13.2665.C,2a,1175.05,65011.01
TB13.2665.C,2b,1043.88,43459.31
TB13.2665.C,2c,1005.28,39978.06
TB13.2665.C,3a,1102.62,49106.71
TB13.2665.C,3b,971.52,27232.1
TB13.2665.C,3c,971.52,27232.1
TB13.2665.C,4a,1171.75,42454.43
TB13.2665.C,4b,994.26,16427.89
TB13.2665.C,4c,871.37,12111.8
Sample,Feature,Length (um),Area (um2)
TB13.2665.E,1a,3720.06,659125.33
TB13.2665.E,1b,2925.44,393860.71
TB13.2665.E,1c,2711.32,340454.48
TB13.2665.E,2a,2485.51,338343.31
TB13.2665.E,2b,1883.69,192499.06
TB13.2665.E,2c,1754.9,167730.53
TB13.2665.E,3a,950.96,36066.46
TB13.2665.E,3b,852.06,22448.52
TB13.2665.E,3c,799.18,20652.36
TB13.2665.E,4a,2704.38,229863.94
TB13.2665.E,4b,2124.31,143244.76
TB13.2665.E,4c,2025.14,130710.52
Sample,Feature,Length (um),Area (um2)
TB13.2729.A,1a,3040.22,540681.23
TB13.2729.A,1b,2912.36,375762.78
TB13.2729.A,1c,2912.36,375762.78
TB13.2729.A,2a,1040.04,37956.12
TB13.2729.A,2b,856.39,22429.07
TB13.2729.A,2c,756.58,19957.97
TB13.2729.A,3a,1412.51,95781.98
TB13.2729.A,3b,1178.61,61644.71
TB13.2729.A,3c,1108.29,56403.94
TB13.2729.A,4a,1265.55,54716.71
TB13.2729.A,4b,1141.86,25935.93
TB13.2729.A,4c,1082.06,22902.71
Sample,Feature,Length (um),Area (um2)
TB13.2729.C,1a,3251.56,496153.53
TB13.2729.C,1b,2713.68,330877.41
TB13.2729.C,1c,2713.68,330877.41
TB13.2729.C,2a,2630.47,308315.18
TB13.2729.C,2b,2360.72,203941.94
TB13.2729.C,2c,2225.58,182784.19
TB13.2729.C,3a,1511.59,110931.39
TB13.2729.C,3b,1316.02,71915.05
TB13.2729.C,3c,1316.02,71915.05
TB13.2729.C,4a,1236.97,77063.7
TB13.2729.C,4b,1073.76,51862.2
TB13.2729.C,4c,1073.76,51862.2
Sample,Feature,Length (um),Area (um2)
TB13.2729.E,1a,1393.05,79823.08
TB13.2729.E,1b,1164.2,52975.01
TB13.2729.E,1c,1078.02,48764.6
TB13.2729.E,2a,828.08,30148.98
TB13.2729.E,2b,675.43,18904.64
TB13.2729.E,2c,643.33,17406.42
TB13.2729.E,3a,754.99,27077.86
TB13.2729.E,3b,607.62,12677.68
TB13.2729.E,3c,549.91,10205.57
TB13.2729.E,4a,2314.36,132108.22
TB13.2729.E,4b,1867.17,77316.84
TB13.2729.E,4c,1786.55,69058.53
Sample,Feature,Length (um),Area (um2)
TB13.2769.A,1a,6631.59,2049951.79
TB13.2769.A,1b,5862.78,1005329.36
TB13.2769.A,1c,5283.32,819008.19
TB13.2769.A,2a,2239.51,207866.22
TB13.2769.A,2b,1923.52,137706.8
TB13.2769.A,2c,1666.59,108660.96
TB13.2769.A,3a,1111.8,54065.49
TB13.2769.A,3b,860.28,23606.64
TB13.2769.A,3c,731.04,15446.6
TB13.2769.A,4a,7343.48,2244248.14
TB13.2769.A,4b,6699.95,1051310.48
TB13.2769.A,4c,4845.07,766766.1
Sample,Feature,Length (um),Area (um2)
TB13.2769.C,1a,2381.46,307805.9
TB13.2769.C,1b,1912.39,160285.72
TB13.2769.C,1c,1826.29,154118.37
TB13.2769.C,2a,7963.42,1858700.59
TB13.2769.C,2b,6502.27,971458.91
TB13.2769.C,2c,5900.83,684462.12
TB13.2769.C,3a,1648.7,135507.65
TB13.2769.C,3b,1458.86,86520.54
TB13.2769.C,3c,1331.05,78643.38
TB13.2769.C,4a,1234.24,69152.28
TB13.2769.C,4b,1081.21,40094.4
TB13.2769.C,4c,941.9,33080.93
Sample,Feature,Length (um),Area (um2)
TB13.2769.E,1a,3419.08,538235.97
TB13.2769.E,1b,2740.2,356576.39
TB13.2769.E,1c,2456.06,298103.2
TB13.2769.E,2a,3135.9,449916.88
TB13.2769.E,2b,2334.27,237124.15
TB13.2769.E,2c,2124.62,210482.02
TB13.2769.E,3a,1865.56,194168.84
TB13.2769.E,3b,1523.93,109450.99
TB13.2769.E,3c,1383.22,96490.8
TB13.2769.E,4a,1642.81,150094.95
TB13.2769.E,4b,1258.31,85722.86
TB13.2769.E,4c,965.62,49901
Sample,Feature,Length (um),Area (um2)
TB13.2958.A,1a,1376.19,100929.76
TB13.2958.A,1b,1204.38,72216.25
TB13.2958.A,1c,1069.45,62774.72
TB13.2958.A,2a,2728.91,316930.29
TB13.2958.A,2b,2215.13,219418.54
TB13.2958.A,2c,2024.5,167587.96
TB13.2958.A,3a,1571.98,93604.79
TB13.2958.A,3b,1306.02,59293.46
TB13.2958.A,3c,1189.78,48580.74
TB13.2958.A,4a,3223.39,315151.44
TB13.2958.A,4b,2699.07,173098.06
TB13.2958.A,4c,2498.45,143896.23
Sample,Feature,Length (um),Area (um2)
TB13.2958.C,1a,3292.79,524196.49
TB13.2958.C,1b,2585.94,278136.7
TB13.2958.C,1c,2335.56,191595.96
TB13.2958.C,2a,7293.81,1301344.99
TB13.2958.C,2b,6040.94,748733.31
TB13.2958.C,2c,5781.72,638785.84
TB13.2958.C,3a,2403.44,202673.63
TB13.2958.C,3b,2034.17,135981.04
TB13.2958.C,3c,1768.39,108931.17
TB13.2958.C,4a,1607.12,130448.73
TB13.2958.C,4b,1422.72,100846.17
TB13.2958.C,4c,1130.86,70217.53
Sample,Feature,Length (um),Area (um2)
TB13.2958.E,1a,3250.43,456486.08
TB13.2958.E,1b,2757.25,303313.36
TB13.2958.E,1c,2405.53,166719.62
TB13.2958.E,2a,1107.15,54353.01
TB13.2958.E,2b,993.15,35860.64
TB13.2958.E,2c,892.76,29360.46
TB13.2958.E,3a,1993.18,92697.43
TB13.2958.E,3b,1961.4,54628.86
TB13.2958.E,3c,1646.22,37918.09
TB13.2958.E,4a,2189.53,162768.99
TB13.2958.E,4b,2109.82,127673.41
TB13.2958.E,4c,1889.34,114082.84
Sample,Feature,Length (um),Area (um2)
TB13.3179.A,1a,619.6,19357.45
TB13.3179.A,1b,508.22,11855.53
TB13.3179.A,1c,456.18,10671.31
TB13.3179.A,2a,1456.86,73007.15
TB13.3179.A,2b,1153.42,31276.61
TB13.3179.A,2c,1030.12,21415.66
TB13.3179.A,3a,1019.35,51535.27
TB13.3179.A,3b,838.14,28876.66
TB13.3179.A,3c,759.69,25792.99
TB13.3179.A,4a,533.38,13989.92
TB13.3179.A,4b,422.32,7945.81
TB13.3179.A,4c,401.48,7005.81
Sample,Feature,Length (um),Area (um2)
TB13.3179.C,1a,1645.17,97252.84
TB13.3179.C,1b,1417.17,65775.81
TB13.3179.C,1c,1317.98,60638.83
TB13.3179.C,2a,1164.36,64990.43
TB13.3179.C,2b,1026.83,42002.88
TB13.3179.C,2c,945.31,35791.11
TB13.3179.C,3a,964.14,44060.34
TB13.3179.C,3b,826.63,24216.95
TB13.3179.C,3c,826.63,24216.95
TB13.3179.C,4a,840.84,36364.27
TB13.3179.C,4b,692.72,24846.21
TB13.3179.C,4c,663.36,23076.91
Sample,Feature,Length (um),Area (um2)
TB13.3179.E,1a,767.29,26019.26
TB13.3179.E,1b,617.67,12094.98
TB13.3179.E,1c,580.9,10945.9
TB13.3179.E,2a,3528.49,409580.4
TB13.3179.E,2b,2952.4,219626.24
TB13.3179.E,2c,2952.4,219626.24
TB13.3179.E,3a,1295.39,75168.27
TB13.3179.E,3b,950.27,42823.15
TB13.3179.E,3c,897.91,36626.57
TB13.3179.E,4a,825.13,27626.67
TB13.3179.E,4b,651.71,16059.92
TB13.3179.E,4c,605.77,13351.12
Sample,Feature,Length (um),Area (um2)
TB13.3310.A,1a,2123.23,195295.84
TB13.3310.A,1b,2022.58,121908.17
TB13.3310.A,1c,1904.21,112927.1
TB13.3310.A,2a,909.1,38687.54
TB13.3310.A,2b,734.51,25626.32
TB13.3310.A,2c,583.8,18236.1
TB13.3310.A,3a,1291.49,83188.25
TB13.3310.A,3b,1176.36,54477.51
TB13.3310.A,3c,1075.85,50852.8
TB13.3310.A,4a,775.27,29736.09
TB13.3310.A,4b,708.31,16615.01
TB13.3310.A,4c,633.68,13905.08
Sample,Feature,Length (um),Area (um2)
TB13.3310.C,1a,2177.77,201830.14
TB13.3310.C,1b,1960.71,114143.2
TB13.3310.C,1c,1782.8,100539.2
TB13.3310.C,2a,864.28,40335.98
TB13.3310.C,2b,755.02,24383.49
TB13.3310.C,2c,696.78,21686.11
TB13.3310.C,3a,709.08,25705.26
TB13.3310.C,3b,611.78,14215.44
TB13.3310.C,3c,556.49,11871.47
TB13.3310.C,4a,705,21013.43
TB13.3310.C,4b,582.35,12514.66
TB13.3310.C,4c,529.37,10387.8
Sample,Feature,Length (um),Area (um2)
TB13.3310.E,1a,1639.93,119704.38
TB13.3310.E,1b,1391.05,69790.82
TB13.3310.E,1c,1342.1,62572.04
TB13.3310.E,2a,1508.96,84803.19
TB13.3310.E,2b,1457.02,53527.47
TB13.3310.E,2c,1300.46,46705.26
TB13.3310.E,3a,1683.15,149366.42
TB13.3310.E,3b,1548.54,90525.26
TB13.3310.E,3c,1408.9,82836.22
TB13.3310.E,4a,893.9,32099.51
TB13.3310.E,4b,783.23,19361.71
TB13.3310.E,4c,712.56,16833.63
Sample,Feature,Length (um),Area (um2)
TB13.3312.A,1a,5194.23,1076831.51
TB13.3312.A,1b,4532.78,636661.87
TB13.3312.A,1c,4359.34,566933.67
TB13.3312.A,2a,2143.78,180660.47
TB13.3312.A,2b,2221.74,59673.48
TB13.3312.A,2c,2029.73,45428.17
TB13.3312.A,3a,2957.46,146197.16
TB13.3312.A,3b,2277.32,97337.68
TB13.3312.A,3c,2108.93,83638.42
TB13.3312.A,4a,2770.73,235694.07
TB13.3312.A,4b,2419.49,156953.55
TB13.3312.A,4c,2297.77,142568.06
Sample,Feature,Length (um),Area (um2)
TB13.3312.C,1a,1748.66,129148.67
TB13.3312.C,1b,1589.16,74533.99
TB13.3312.C,1c,1360.16,52765.43
TB13.3312.C,2a,1776.61,104886.91
TB13.3312.C,2b,1866.72,68795.35
TB13.3312.C,2c,1722.02,60284.41
TB13.3312.C,3a,1318.32,66070.74
TB13.3312.C,3b,1306.87,40083.85
TB13.3312.C,3c,1428.96,32809.09
TB13.3312.C,4a,1201.85,45975.22
TB13.3312.C,4b,1271.02,20951.05
TB13.3312.C,4c,1138.48,14544.13
Sample,Feature,Length (um),Area (um2)
TB13.3312.E,1a,1418.96,99521.64
TB13.3312.E,1b,1288.53,55555.68
TB13.3312.E,1c,1093.11,41430.98
TB13.3312.E,2a,898.23,46560.56
TB13.3312.E,2b,866.41,30602.92
TB13.3312.E,2c,751.45,25659.71
TB13.3312.E,3a,444.54,7440.05
TB13.3312.E,3b,437.41,2865.43
TB13.3312.E,3c,335.57,1081.56
TB13.3312.E,4a,1265.81,64617.32
TB13.3312.E,4b,1250.01,43430.45
TB13.3312.E,4c,1129.3,38071.45
Sample,Feature,Length (um),Area (um2)
TB13.3417.A,1a,1306.02,92292.94
TB13.3417.A,1b,1177.4,66738.65
TB13.3417.A,1c,884.68,42673.18
TB13.3417.A,2a,1036.38,52884.65
TB13.3417.A,2b,1064.87,31732.05
TB13.3417.A,2c,779.5,19356.69
TB13.3417.A,3a,1392.63,86478
TB13.3417.A,3b,1277.15,44484.53
TB13.3417.A,3c,1213.34,31331.7
TB13.3417.A,4a,553.76,14845.08
TB13.3417.A,4b,550.98,9658.77
TB13.3417.A,4c,507.22,8764.95
Sample,Feature,Length (um),Area (um2)
TB13.3417.C,1a,3080.45,450576.39
TB13.3417.C,1b,2922.24,282274.71
TB13.3417.C,1c,2473.99,168069.38
TB13.3417.C,2a,1541.16,91417.07
TB13.3417.C,2b,1352.91,55837.43
TB13.3417.C,2c,1157.37,36214.8
TB13.3417.C,3a,3100.48,208678.58
TB13.3417.C,3b,2616.53,109961.52
TB13.3417.C,3c,2281.63,80912.3
TB13.3417.C,4a,1477.02,55283.34
TB13.3417.C,4b,1274.22,32790.14
TB13.3417.C,4c,1088.1,24470.21
Sample,Feature,Length (um),Area (um2)
TB13.3417.E,1a,2819.27,464660.43
TB13.3417.E,1b,2328.49,335577.4
TB13.3417.E,1c,1933.78,214603.08
TB13.3417.E,2a,2108.01,213936.93
TB13.3417.E,2b,1685.71,125876.74
TB13.3417.E,2c,1433.24,75522.68
TB13.3417.E,3a,2050.6,210778.08
TB13.3417.E,3b,1757.1,141490.64
TB13.3417.E,3c,1559.5,91279.52
TB13.3417.E,4a,880.01,40892.96
TB13.3417.E,4b,796.89,29083.48
TB13.3417.E,4c,672.52,20194.41
Sample,Feature,Length (um),Area (um2)
TB13.3479.A,1a,1845.91,172729.22
TB13.3479.A,1b,1708.57,138597.98
TB13.3479.A,1c,1562.36,122962.62
TB13.3479.A,2a,1935.8,159802.79
TB13.3479.A,2b,1633.68,123321.3
TB13.3479.A,2c,1493.03,102221.16
TB13.3479.A,3a,1291.13,86630.98
TB13.3479.A,3b,1153.26,70500.91
TB13.3479.A,3c,1010.03,57498.55
TB13.3479.A,4a,2127.09,95127.87
TB13.3479.A,4b,1932.29,40866.98
TB13.3479.A,4c,1751.53,19632.04
Sample,Feature,Length (um),Area (um2)
TB13.3479.C,1a,1104.85,61112.97
TB13.3479.C,1b,946.64,43520.43
TB13.3479.C,1c,874.89,37740.51
TB13.3479.C,2a,1420.61,40046.58
TB13.3479.C,2b,1343.79,22734.54
TB13.3479.C,2c,1183.43,18293.83
TB13.3479.C,3a,2404.47,156271.46
TB13.3479.C,3b,2142.7,79891.98
TB13.3479.C,3c,1673.7,15920.87
TB13.3479.C,4a,1442.34,99105.1
TB13.3479.C,4b,1277.67,69034.81
TB13.3479.C,4c,1203.46,58280.67
Sample,Feature,Length (um),Area (um2)
TB13.3479.E,1a,2535.76,321159.03
TB13.3479.E,1b,2102.6,213163.47
TB13.3479.E,1c,1854.47,155441.9
TB13.3479.E,2a,1972.7,214494.15
TB13.3479.E,2b,1698.1,130003.33
TB13.3479.E,2c,1534.45,94810.98
TB13.3479.E,3a,2652.86,260499.12
TB13.3479.E,3b,2253.98,185716.89
TB13.3479.E,3c,2019.49,138377.72
TB13.3479.E,4a,2376.31,202685.68
TB13.3479.E,4b,2087.19,151203.62
TB13.3479.E,4c,1991.56,125549.82
Sample,Feature,Length (um),Area (um2)
TB13.3491.A,1a,2931.88,240593.98
TB13.3491.A,1b,2313.39,102565.03
TB13.3491.A,1c,2313.39,102565.03
TB13.3491.A,2a,3305.03,395070.66
TB13.3491.A,2b,2512.03,151891.74
TB13.3491.A,2c,2587.78,143235.72
TB13.3491.A,3a,1622.54,74356.03
TB13.3491.A,3b,1499.75,33220.98
TB13.3491.A,3c,1367.34,24637.13
TB13.3491.A,4a,4713.99,805699.24
TB13.3491.A,4b,4293.06,461443.1
TB13.3491.A,4c,4301.13,425698.3
Sample,Feature,Length (um),Area (um2)
TB13.3491.C,1a,1567.98,89282.06
TB13.3491.C,1b,1347.1,45586.05
TB13.3491.C,1c,1260.12,41203.44
TB13.3491.C,2a,1186.61,71213.87
TB13.3491.C,2b,1092.99,42716.6
TB13.3491.C,2c,1015.34,35948.74
TB13.3491.C,3a,2360.67,157453.17
TB13.3491.C,3b,2099.71,75820.24
TB13.3491.C,3c,2039.65,61766.45
TB13.3491.C,4a,592.42,10315.14
TB13.3491.C,4b,539.69,4776.42
TB13.3491.C,4c,486.24,2898.31
Sample,Feature,Length (um),Area (um2)
TB13.3491.E,1a,5869.53,707480.54
TB13.3491.E,1b,4996.71,409685.32
TB13.3491.E,1c,4755.45,343298.19
TB13.3491.E,2a,1480.86,90977.82
TB13.3491.E,2b,1302.6,60939.65
TB13.3491.E,2c,1263.89,56203.89
TB13.3491.E,3a,1722.92,111326.84
TB13.3491.E,3b,1400.56,67884.1
TB13.3491.E,3c,1230.31,51832.21
TB13.3491.E,4a,847.92,30343.26
TB13.3491.E,4b,703.83,19099.17
TB13.3491.E,4c,659.92,16461.9
Sample,Feature,Length (um),Area (um2)
TB13.3817.A,1a,2459.41,177739.82
TB13.3817.A,1b,2193.44,115579.81
TB13.3817.A,1c,2100.71,107628.72
TB13.3817.A,2a,1123.58,41810.87
TB13.3817.A,2b,1025.72,23137.02
TB13.3817.A,2c,967.92,17448.71
TB13.3817.A,3a,838.76,22469.11
TB13.3817.A,3b,685.56,9797.95
TB13.3817.A,3c,637.99,7452.22
TB13.3817.A,4a,728.25,27137.98
TB13.3817.A,4b,604.32,18129.3
TB13.3817.A,4c,561.94,15803.65
Sample,Feature,Length (um),Area (um2)
TB13.3817.C,1a,3492.16,529993.98
TB13.3817.C,1b,3083.95,378152.57
TB13.3817.C,1c,2908.3,362290.06
TB13.3817.C,2a,1170.43,49873.27
TB13.3817.C,2b,1054.54,30052.22
TB13.3817.C,2c,1054.54,30052.22
TB13.3817.C,3a,1464.13,48796.6
TB13.3817.C,3b,1286.9,32455.06
TB13.3817.C,3c,1261.88,29406.65
TB13.3817.C,4a,680.19,20877.76
TB13.3817.C,4b,594.7,15136.11
TB13.3817.C,4c,577.96,13901.31
Sample,Feature,Length (um),Area (um2)
TB13.3817.E,1a,1390.4,100480.21
TB13.3817.E,1b,1215.22,74358.54
TB13.3817.E,1c,1144.3,70846.91
TB13.3817.E,2a,1730.09,117143.04
TB13.3817.E,2b,1460.18,77095.2
TB13.3817.E,2c,1390.35,70580.98
TB13.3817.E,3a,2060.61,181423.01
TB13.3817.E,3b,1775.11,135100.78
TB13.3817.E,3c,1691.13,128228.87
TB13.3817.E,4a,1168.64,49755.8
TB13.3817.E,4b,947.04,23270.18
TB13.3817.E,4c,865.14,19316.41
Sample,Feature,Length (um),Area (um2)
TB13.3870.A,1a,2370.52,317840.42
TB13.3870.A,1b,2052.3,238934.62
TB13.3870.A,1c,1665.98,172604.09
TB13.3870.A,2a,634.81,21617.71
TB13.3870.A,2b,515.13,9719.89
TB13.3870.A,2c,385.5,5596.69
TB13.3870.A,3a,902.28,33816.48
TB13.3870.A,3b,784.49,20605.68
TB13.3870.A,3c,596.76,10167.8
TB13.3870.A,4a,1022.68,57676.01
TB13.3870.A,4b,882.87,39288.18
TB13.3870.A,4c,733.47,29340.38
Sample,Feature,Length (um),Area (um2)
TB13.3870.C,1a,1750.58,154888.94
TB13.3870.C,1b,1556.03,111387.08
TB13.3870.C,1c,1271.25,76791.24
TB13.3870.C,2a,2389.29,197157.01
TB13.3870.C,2b,2089.16,136562.61
TB13.3870.C,2c,1816.39,100732.72
TB13.3870.C,3a,1082.9,33846.6
TB13.3870.C,3b,992.42,18760.94
TB13.3870.C,3c,893.16,12914.25
TB13.3870.C,4a,1815.7,106009.51
TB13.3870.C,4b,1634.51,46575.87
TB13.3870.C,4c,1417.97,23611.66
Sample,Feature,Length (um),Area (um2)
TB13.3870.E,1a,1998.19,224475.83
TB13.3870.E,1b,1821.19,167851.14
TB13.3870.E,1c,1543.83,124605.55
TB13.3870.E,2a,2047.54,163208.12
TB13.3870.E,2b,1706.87,104150.98
TB13.3870.E,2c,1593.15,80941.29
TB13.3870.E,3a,4457.1,573962.07
TB13.3870.E,3b,3677.64,350047.98
TB13.3870.E,3c,3374.56,289156.9
TB13.3870.E,4a,12813.47,4381804.8
TB13.3870.E,4b,11183.74,2640079.59
TB13.3870.E,4c,10565.61,2228752.1
Sample,Feature,Length (um),Area (um2)
TB13.4237.A,1a,2138.61,121010.09
TB13.4237.A,1b,1906.12,60147.74
TB13.4237.A,1c,1906.12,60147.74
TB13.4237.A,2a,3612.3,307655.3
TB13.4237.A,2b,2921.16,133847.15
TB13.4237.A,2c,2556.58,93572.54
TB13.4237.A,3a,1573.44,82571.54
TB13.4237.A,3b,1381.32,47377.19
TB13.4237.A,3c,1304.2,39298.1
TB13.4237.A,4a,1419,55853.49
TB13.4237.A,4b,1306.81,20515.69
TB13.4237.A,4c,1219.97,12764.66
Sample,Feature,Length (um),Area (um2)
TB13.4237.C,1a,1871.43,169837.31
TB13.4237.C,1b,1717.65,123294.19
TB13.4237.C,1c,1607.02,110593.54
TB13.4237.C,2a,2428.36,183675.87
TB13.4237.C,2b,2049.3,117720.47
TB13.4237.C,2c,1964.47,111237.24
TB13.4237.C,3a,2797.8,335457.55
TB13.4237.C,3b,2477.7,235857.85
TB13.4237.C,3c,2266.38,218801.95
TB13.4237.C,4a,1548.16,57581.76
TB13.4237.C,4b,1439.69,22776.08
TB13.4237.C,4c,1258.98,15468.31
Sample,Feature,Length (um),Area (um2)
TB13.4237.E,1a,1195.39,66990.91
TB13.4237.E,1b,1045.38,42662.64
TB13.4237.E,1c,979.26,34638.14
TB13.4237.E,2a,1105.02,41647.09
TB13.4237.E,2b,916.68,28798.72
TB13.4237.E,2c,780.42,23437.22
TB13.4237.E,3a,2016.3,81246.51
TB13.4237.E,3b,1844.69,39858.96
TB13.4237.E,3c,1640.68,32835.2
TB13.4237.E,4a,888.88,18269.99
TB13.4237.E,4b,706.73,7848.8
TB13.4237.E,4c,639.33,5334.77
Sample,Feature,Length (um),Area (um2)
TB13.4350.A,1a,3915.79,913005.05
TB13.4350.A,1b,3227.01,583735.17
TB13.4350.A,1c,3163.63,551880.39
TB13.4350.A,2a,1358.43,78704.75
TB13.4350.A,2b,1085.45,39663.8
TB13.4350.A,2c,973.13,27931.77
TB13.4350.A,3a,934.99,44018.55
TB13.4350.A,3b,761.07,31498.24
TB13.4350.A,3c,723.26,27997.65
TB13.4350.A,4a,627,20796.94
TB13.4350.A,4b,506.38,13521.42
TB13.4350.A,4c,441.45,10810.99
Sample,Feature,Length (um),Area (um2)
TB13.4350.C,1a,1582.31,131247.41
TB13.4350.C,1b,1327.12,80363.49
TB13.4350.C,1c,1308.46,76313.46
TB13.4350.C,2a,812.97,29715.5
TB13.4350.C,2b,725.96,17403.03
TB13.4350.C,2c,669.47,15796.5
TB13.4350.C,3a,1343.65,50566.28
TB13.4350.C,3b,1008.17,30104.56
TB13.4350.C,3c,917.84,22068.63
TB13.4350.C,4a,1534.71,57788.58
TB13.4350.C,4b,1349.68,31512.92
TB13.4350.C,4c,1265.37,28157.29
Sample,Feature,Length (um),Area (um2)
TB13.4350.E,1a,2744.68,257661.8
TB13.4350.E,1b,2256.32,158449.9
TB13.4350.E,1c,2256.32,158449.9
TB13.4350.E,2a,1203.56,43032.24
TB13.4350.E,2b,1050.76,19948.05
TB13.4350.E,2c,962,16755.19
TB13.4350.E,3a,1452.92,84019.82
TB13.4350.E,3b,1366.84,55140.27
TB13.4350.E,3c,1299.14,48088.53
TB13.4350.E,4a,1077.82,44323.64
TB13.4350.E,4b,935.98,26994.15
TB13.4350.E,4c,833.74,15572.1
Sample,Feature,Length (um),Area (um2)
TB14.0024.A,1a,1061.32,47862.5
TB14.0024.A,1b,816.35,25995.8
TB14.0024.A,1c,816.35,25995.8
TB14.0024.A,2a,2375.04,237089.76
TB14.0024.A,2b,2406.82,92882.41
TB14.0024.A,2c,1819.89,55793.25
TB14.0024.A,3a,1667.48,88058.17
TB14.0024.A,3b,1255.14,35738.78
TB14.0024.A,3c,1255.14,35738.78
TB14.0024.A,4a,3233.21,621331.86
TB14.0024.A,4b,2305.66,235165.84
TB14.0024.A,4c,2305.66,235165.84
Sample,Feature,Length (um),Area (um2)
TB14.0024.C,1a,4495.31,1129660.44
TB14.0024.C,1b,4096.55,700465.57
TB14.0024.C,1c,4058.01,606860.9
TB14.0024.C,2a,1402.75,96176.8
TB14.0024.C,2b,1202.81,50645.22
TB14.0024.C,2c,1202.81,50645.22
TB14.0024.C,3a,1788.92,161971.19
TB14.0024.C,3b,1526.62,106977.37
TB14.0024.C,3c,1378.92,86871.44
TB14.0024.C,4a,691.93,26166.85
TB14.0024.C,4b,578.52,15500.82
TB14.0024.C,4c,578.52,15500.82
Sample,Region,Length (um),Area (um2)
TB14.0024.E,1a,1442.65,100332.62
TB14.0024.E,1b,1244.81,52282.5
TB14.0024.E,1c,959.88,35408.58
TB14.0024.E,2a,1501.78,99969.05
TB14.0024.E,2b,1741.68,46102.48
TB14.0024.E,2c,1321.82,29486.97
TB14.0024.E,3a,3271.18,360214.91
TB14.0024.E,3b,2973.6,205214.39
TB14.0024.E,3c,2973.6,205214.39
