Sample,Feature,Length (um),Area (um2)
TB13.0002.C,1c,695.81,12414.01
TB13.0002.C,2a,1315.12,74191
TB13.0002.C,2b,1157.51,52066.89
TB13.0002.C,2c,1033.23,41255.78
TB13.0002.C,3a,574.91,12732.4
TB13.0002.C,3b,498.36,7112.87
TB13.0002.C,3c,498.36,7112.87
TB13.0002.C,4a,951.22,25805.54
TB13.0002.C,4b,879.22,17186.67
TB13.0002.C,4c,818.07,13789.99
Sample,Feature,Length (um),Area (um2)
TB13.0002.E,1a,3576.27,400978.72
TB13.0002.E,1b,3061.67,264966.81
TB13.0002.E,1c,3033.24,238386.93
TB13.0002.E,2a,937.99,38949.33
TB13.0002.E,2b,848.66,29025.25
TB13.0002.E,2c,806.16,27425.75
TB13.0002.E,3a,1605.78,100073.59
TB13.0002.E,3b,1241.34,38558.65
TB13.0002.E,3c,1139.49,29390.96
TB13.0002.E,4a,1388.7,65371.95
TB13.0002.E,4b,1276.11,44703.65
TB13.0002.E,4c,1210.84,36845.31
Sample,Feature,Length (um),Area (um2)
TB13.0029.A,1a,610.86,19227.43
TB13.0029.A,1b,489.97,12433.08
TB13.0029.A,1c,489.97,12433.08
TB13.0029.A,2a,3043.45,222973.21
TB13.0029.A,2b,2266.04,87527.06
TB13.0029.A,2c,2266.04,87527.06
TB13.0029.A,3a,1217.59,75438.47
TB13.0029.A,3b,939.12,47199.61
TB13.0029.A,3c,888.21,38701.47
TB13.0029.A,4a,409.82,7452.97
TB13.0029.A,4b,312.71,4121.56
TB13.0029.A,4c,293.51,3012.39
Sample,Feature,Length (um),Area (um2)
TB13.0029.C,1a,1497.12,118716.69
TB13.0029.C,1b,1173.05,70640.46
TB13.0029.C,1c,1173.05,70640.46
TB13.0029.C,2a,2232.41,188332.57
TB13.0029.C,2b,1691.71,89347.57
TB13.0029.C,2c,1691.71,89347.57
TB13.0029.C,3a,921.2,36230.74
TB13.0029.C,3b,808.63,25164.1
TB13.0029.C,3c,794.93,23450.9
TB13.0029.C,4a,2216.75,174176.11
TB13.0029.C,4b,1822.3,111454.48
TB13.0029.C,4c,1822.3,111454.48
Sample,Feature,Length (um),Area (um2)
TB13.0029.E,1a,1064.77,60835.23
TB13.0029.E,1b,878.5,45003.1
TB13.0029.E,1c,878.5,45003.1
TB13.0029.E,2a,1467.48,103057.37
TB13.0029.E,2b,1076.79,61564.39
TB13.0029.E,2c,1076.79,61564.39
TB13.0029.E,3a,789.41,22974.37
TB13.0029.E,3b,644.9,11764.29
TB13.0029.E,3c,644.9,11764.29
TB13.0029.E,4a,1459.03,79857.72
TB13.0029.E,4b,1250.2,47929.01
TB13.0029.E,4c,1250.2,47929.01
Sample,Feature,Length (um),Area (um2)
TB13.0081.A,1a,2442.5,303248.47
TB13.0081.A,1b,2134.88,192703.87
TB13.0081.A,1c,1941.02,156415.53
TB13.0081.A,2a,2616,259864.46
TB13.0081.A,2b,2213.83,160293.62
TB13.0081.A,2c,1985.46,124467.5
TB13.0081.A,3a,1744.55,124740.21
TB13.0081.A,3b,1421.65,74751.36
TB13.0081.A,3c,1298.6,60786.54
TB13.0081.A,4a,1095.5,48850.31
TB13.0081.A,4b,942.52,28393.61
TB13.0081.A,4c,858.77,22544.41
Sample,Feature,Length (um),Area (um2)
TB13.0081.C,1a,1211.87,81019.73
TB13.0081.C,1b,1122.68,60586.99
TB13.0081.C,1c,859.04,42746.22
TB13.0081.C,2a,1455.18,109346.95
TB13.0081.C,2b,1396.45,78457.01
TB13.0081.C,2c,1109.58,60024.88
TB13.0081.C,3a,1100.8,63036.39
TB13.0081.C,3b,1055.35,32291.65
TB13.0081.C,3c,862.99,21300.45
TB13.0081.C,4a,814.43,31741.71
TB13.0081.C,4b,787.34,17643.36
TB13.0081.C,4c,620.94,13356.52
Sample,Feature,Length (um),Area (um2)
TB13.0081.E,1a,2678.59,260637.42
TB13.0081.E,1b,2445.95,178689.99
TB13.0081.E,1c,2102.63,131234.61
TB13.0081.E,2a,1160.05,64459.06
TB13.0081.E,2b,1149.01,42948.03
TB13.0081.E,2c,895.11,32044.79
TB13.0081.E,3a,683.94,21949.28
TB13.0081.E,3b,577.62,13050.17
TB13.0081.E,3c,501.54,10623.11
TB13.0081.E,4a,772.08,27757.82
TB13.0081.E,4b,737.36,16090.17
TB13.0081.E,4c,590.75,10785.64
Sample,Feature,Length (um),Area (um2)
TB13.0083.A,1a,1666.46,155621.74
TB13.0083.A,1b,1289.05,89132.71
TB13.0083.A,1c,1281.93,82738.71
TB13.0083.A,2a,997.77,49735.34
TB13.0083.A,2b,877.51,33175.55
TB13.0083.A,2c,877.51,33175.55
TB13.0083.A,3a,1284.85,50789.92
TB13.0083.A,3b,1018.84,24830.77
TB13.0083.A,3c,942.78,21544.92
TB13.0083.A,4a,1461.76,92259.05
TB13.0083.A,4b,1263.72,59618.51
TB13.0083.A,4c,1265.99,57242.91
Sample,Feature,Length (um),Area (um2)
TB13.0083.C,1a,1075.32,60150
TB13.0083.C,1b,860.28,34210.56
TB13.0083.C,1c,860.28,34210.56
TB13.0083.C,2a,1660.14,139733.13
TB13.0083.C,2b,1395.87,88433.67
TB13.0083.C,2c,1395.87,88433.67
TB13.0083.C,3a,1426.69,82222.02
TB13.0083.C,3b,1053.87,36851.59
TB13.0083.C,3c,964.52,32442
TB13.0083.C,4a,1538.52,101571.31
TB13.0083.C,4b,1297.53,58693.32
TB13.0083.C,4c,1236.01,54173.54
Sample,Feature,Length (um),Area (um2)
TB13.0083.E,1a,1428.56,93996.48
TB13.0083.E,1b,1246.67,64874.47
TB13.0083.E,1c,1246.67,64874.47
TB13.0083.E,2a,1535.66,96799.79
TB13.0083.E,2b,1360.95,59061.54
TB13.0083.E,2c,1360.95,59061.54
TB13.0083.E,3a,706.24,24116.55
TB13.0083.E,3b,618.6,15963.04
TB13.0083.E,3c,618.6,15963.04
TB13.0083.E,4a,698.06,22338.33
TB13.0083.E,4b,600.77,13166.26
TB13.0083.E,4c,600.77,13166.26
Sample,Feature,Length (um),Area (um2)
TB13.0084.A,1a,984.06,41527.86
TB13.0084.A,1b,816.93,22486.17
TB13.0084.A,1c,802.97,20354.3
TB13.0084.A,2a,862.35,32616.7
TB13.0084.A,2b,712.25,20883.78
TB13.0084.A,2c,688.02,19534.28
TB13.0084.A,3a,1604.25,135307.35
TB13.0084.A,3b,1379.63,85187.73
TB13.0084.A,3c,1379.63,85187.73
TB13.0084.A,4a,1025.09,45174.4
TB13.0084.A,4b,896.77,30493.48
TB13.0084.A,4c,896.77,30493.48
Sample,Feature,Length (um),Area (um2)
TB13.0084.C,1a,2043.26,170666.87
TB13.0084.C,1b,1783.3,113421.82
TB13.0084.C,1c,1783.3,113421.82
TB13.0084.C,2a,1024.16,39551.73
TB13.0084.C,2b,848.44,21872.98
TB13.0084.C,2c,848.44,21872.98
TB13.0084.C,3a,1941.38,140040.35
TB13.0084.C,3b,1492.4,92065.15
TB13.0084.C,3c,1500.93,88110.13
TB13.0084.C,4a,1379.93,85183.33
TB13.0084.C,4b,1211.85,49939.91
TB13.0084.C,4c,1211.85,49939.91
Sample,Feature,Length (um),Area (um2)
TB13.0084.E,1a,2944.98,433336.89
TB13.0084.E,1b,2334.52,293072.64
TB13.0084.E,1c,2334.52,293072.64
TB13.0084.E,2a,2391.86,295308.18
TB13.0084.E,2b,2072.37,209997.72
TB13.0084.E,2c,2072.37,209997.72
TB13.0084.E,3a,1247.59,47612.13
TB13.0084.E,3b,1059.78,26801.26
TB13.0084.E,3c,1059.78,26801.26
TB13.0084.E,4a,813.98,28930.37
TB13.0084.E,4b,649.65,18064.67
TB13.0084.E,4c,649.65,18064.67
Sample,Feature,Length (um),Area (um2)
TB13.0147.A,1a,2371.53,408653.33
TB13.0147.A,1b,2376.21,216981.82
TB13.0147.A,1c,2294.33,211452.02
TB13.0147.A,2a,2975.59,363791.17
TB13.0147.A,2b,2466.89,199796.28
TB13.0147.A,2c,2418.34,189012.53
TB13.0147.A,3a,819.31,24414.62
TB13.0147.A,3b,745.75,9299.59
TB13.0147.A,3c,745.75,9299.59
TB13.0147.A,4a,983.44,51030.38
TB13.0147.A,4b,837.5,32686.1
TB13.0147.A,4c,796.14,31096.64
Sample,Feature,Length (um),Area (um2)
TB13.0147.C,1a,870.48,29852.93
TB13.0147.C,1b,793.28,15984.24
TB13.0147.C,1c,727.27,14084.42
TB13.0147.C,2a,537.66,11974.5
TB13.0147.C,2b,506.44,6821.7
TB13.0147.C,2c,460.36,5550.51
TB13.0147.C,3a,2572.33,313619.83
TB13.0147.C,3b,2576.84,170506.48
TB13.0147.C,3c,2256.69,149417.75
TB13.0147.C,4a,1561.94,76914.48
TB13.0147.C,4b,1358.92,47048.63
TB13.0147.C,4c,1358.92,47048.63
Sample,Feature,Length (um),Area (um2)
TB13.0147.E,1a,4347.69,1027007.94
TB13.0147.E,1b,2977.65,501725.5
TB13.0147.E,1c,2995.37,424430.24
TB13.0147.E,2a,2336.97,254032.2
TB13.0147.E,2b,2319.86,169176.55
TB13.0147.E,2c,2157.81,144360.83
TB13.0147.E,3a,2857.56,279758.3
TB13.0147.E,3b,2428.1,184682.26
TB13.0147.E,3c,2467.53,179491.81
TB13.0147.E,4a,927.17,49578.22
TB13.0147.E,4b,795.58,32367.33
TB13.0147.E,4c,795.58,32367.33
Sample,Feature,Length (um),Area (um2)
TB13.0189.A,1a,498.77,8577.71
TB13.0189.A,1b,422.9,4186.07
TB13.0189.A,1c,361.2,3201.64
TB13.0189.A,2a,640.15,16384.59
TB13.0189.A,2b,569.32,9798.45
TB13.0189.A,2c,465.73,7617.63
TB13.0189.A,3a,607.02,18117
TB13.0189.A,3b,529.2,10603.41
TB13.0189.A,3c,470.68,9259.55
TB13.0189.A,4a,516.42,9897.85
TB13.0189.A,4b,385.48,4351.35
TB13.0189.A,4c,340.12,2897.18
Sample,Feature,Length (um),Area (um2)
TB13.0189.C,1a,3155.55,427187.49
TB13.0189.C,1b,2553.9,244179.03
TB13.0189.C,1c,2425.28,212554.16
TB13.0189.C,2a,1030.93,54377.73
TB13.0189.C,2b,909.41,30332.72
TB13.0189.C,2c,888.88,26031.81
TB13.0189.C,3a,1887.65,113664.17
TB13.0189.C,3b,1655.82,42702.55
TB13.0189.C,3c,1528.66,31676.07
TB13.0189.C,4a,851.12,27050
TB13.0189.C,4b,728.7,13984.14
TB13.0189.C,4c,666.69,11837.46
Sample,Feature,Length (um),Area (um2)
TB13.0189.E,1a,1063.16,54757.87
TB13.0189.E,1b,969.6,31141.19
TB13.0189.E,1c,840.51,27042.22
TB13.0189.E,2a,2318.91,140667.73
TB13.0189.E,2b,2136.95,71920.07
TB13.0189.E,2c,2136.95,71920.07
TB13.0189.E,3a,1311.81,43492.7
TB13.0189.E,3b,1198.73,25011.37
TB13.0189.E,3c,1142.25,21833.2
TB13.0189.E,4a,717.94,19304.99
TB13.0189.E,4b,643.47,9375.89
TB13.0189.E,4c,575.33,7580.36
Sample,Feature,Length (um),Area (um2)
TB13.0218.A,1a,1892.78,177784.38
TB13.0218.A,1b,1639.84,110137.48
TB13.0218.A,1c,1529.55,99863.13
TB13.0218.A,2a,899.82,20975.4
TB13.0218.A,2b,762.76,5386.48
TB13.0218.A,2c,762.76,5386.48
TB13.0218.A,3a,2151.96,247310.77
TB13.0218.A,3b,1684.22,130387.48
TB13.0218.A,3c,1672.4,120450.86
TB13.0218.A,4a,486.23,12677.68
TB13.0218.A,4b,432.83,8708.48
TB13.0218.A,4c,425.19,7546.72
Sample,Feature,Length (um),Area (um2)
TB13.0218.C,1a,4958.15,805354.24
TB13.0218.C,1b,4327.14,455945.8
TB13.0218.C,1c,4145.4,368927.27
TB13.0218.C,2a,1129.86,62462.6
TB13.0218.C,2b,820.16,29605.94
TB13.0218.C,2c,820.16,29605.94
TB13.0218.C,3a,4349.38,622161.54
TB13.0218.C,3b,3785.4,382359.97
TB13.0218.C,3c,3548.69,284212.18
TB13.0218.C,4a,958.72,44785.48
TB13.0218.C,4b,827.24,27516.99
TB13.0218.C,4c,722.22,23930.94
Sample,Feature,Length (um),Area (um2)
TB13.0218.E,1a,8306.96,1228584.82
TB13.0218.E,1b,7168.4,651220.68
TB13.0218.E,1c,6741.91,422252.06
TB13.0218.E,2a,7875.45,1669438.81
TB13.0218.E,2b,6402.58,900461.52
TB13.0218.E,2c,6204.67,754406.31
TB13.0218.E,3a,1360.67,73137.8
TB13.0218.E,3b,1096.47,31213.73
TB13.0218.E,3c,1029.14,22370.96
TB13.0218.E,4a,1026.97,37986.49
TB13.0218.E,4b,879.11,16128.57
TB13.0218.E,4c,879.11,16128.57
Sample,Feature,Length (um),Area (um2)
TB13.0240.A,1a,2130.42,200471.35
TB13.0240.A,1b,1837.63,138210.56
TB13.0240.A,1c,1837.63,138210.56
TB13.0240.A,2a,2262.29,161522.52
TB13.0240.A,2b,1976.74,72279.88
TB13.0240.A,2c,1976.74,72279.88
TB13.0240.A,3a,836.16,35497.44
TB13.0240.A,3b,738.99,22410
TB13.0240.A,3c,738.99,22410
TB13.0240.A,4a,1265.66,50970.27
TB13.0240.A,4b,1069.54,26697.97
TB13.0240.A,4c,1044.15,22416.15
Sample,Feature,Length (um),Area (um2)
TB13.0240.C,1a,1143.21,50803.35
TB13.0240.C,1b,1042.18,29142.85
TB13.0240.C,1c,1042.18,29142.85
TB13.0240.C,2a,4710.5,532243.08
TB13.0240.C,2b,4410.47,326484.39
TB13.0240.C,2c,4410.47,326484.39
TB13.0240.C,3a,3299.51,388235.4
TB13.0240.C,3b,2656.36,225546.47
TB13.0240.C,3c,2656.36,225546.47
TB13.0240.C,4a,1104.06,40457.47
TB13.0240.C,4b,997,19299.59
TB13.0240.C,4c,997,19299.59
Sample,Feature,Length (um),Area (um2)
TB13.0240.E,1a,4049.76,381164.07
TB13.0240.E,1b,3522.35,254820.22
